"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1911289482055213231","Sun Apr 13 05:24:57 +0000 2025","1","Anggota Bawaslu Kabupaten Tasikmalaya Ahmad Aziz Firdaus selaku Koordinator divisi SDMO &amp; Diklat melakukan Pengawasan melekat terhadap Pendistribusian dan bongkar muat logistik berupa surat suara untuk Pemungutan Suara Ulang Pemilihan Bupati dan Wakil Bupati Tasikmalaya https://t.co/sE4xtWNIgX","1911289482055213231","https://pbs.twimg.com/media/GoZDo2yXYAANlFp.jpg","","in","","0","1","0","https://x.com/undefined/status/1911289482055213231","1065606489216184320",
"1911254769001439559","Sun Apr 13 03:07:00 +0000 2025","0","Pastikan Aman Polres Kukar Kawal Kedatangan Surat Suara PSU Pilkada 2025 di KPU Kukar - Logistik atau kebutuhan untuk pemungutan suara ulang (PSU) Bupati dan Wakil Bupati Kukar berupa surat suara telah tiba di Gudang Logistik Komisi Pemilihan Umum (KPU). https://t.co/jWkOlDD9gW","1911254769001439559","https://pbs.twimg.com/media/GoYkFSxXEAAEIiQ.jpg","","in","","0","0","0","https://x.com/undefined/status/1911254769001439559","1585123221149339648",
"1911253733285183722","Sun Apr 13 03:02:54 +0000 2025","2","#Temanpemilih Kabupaten Empat Lawang Ingaat 7 hari lagi gunakan hak pilihmu pada Pemungutan Suara Ulang (PSU) Pemilihan Bupati dan Wakil Bupati Kabupaten Empat Lawang pada 19 April 2025 #KPUMelayani #Pemilihanserentak2024 @kpu_ri --------------------- https://t.co/3HzOQX2Gtm","1911253733285183722","https://pbs.twimg.com/media/GoYjIk_W4AAYUny.jpg","","in","","0","0","2","https://x.com/undefined/status/1911253733285183722","704504615287427074",
"1911249287578874095","Sun Apr 13 02:45:14 +0000 2025","0","Pastikan Aman Polres Kukar Kawal Kedatangan Surat Suara PSU Pilkada 2025 di KPU Kukar - Logistik atau kebutuhan untuk pemungutan suara ulang (PSU) Bupati dan Wakil Bupati Kukar berupa surat suara telah tiba di Gudang Logistik Komisi Pemilihan Umum (KPU) pada Jum'at (11/4) malam. https://t.co/o5VKFG2KUT","1911249287578874095","https://pbs.twimg.com/media/GoYfFe2XwAACO5V.jpg","","in","","0","0","0","https://x.com/undefined/status/1911249287578874095","1184708231869808640",
"1911233877554975154","Sun Apr 13 01:44:00 +0000 2025","0","Pastikan Aman Polres Kukar Kawal Kedatangan Surat Suara PSU Pilkada 2025 di KPU Kukar - Logistik atau kebutuhan untuk pemungutan suara ulang (PSU) Bupati dan Wakil Bupati Kukar berupa surat suara telah tiba di Gudang Logistik Komisi Pemilihan Umum (KPU) pada Jum'at (11/4) https://t.co/MLgsWHHx36","1911233877554975154","https://pbs.twimg.com/media/GoYREj8WsAEI78J.jpg","","in","","0","0","0","https://x.com/undefined/status/1911233877554975154","1284684722984022018",
"1911212245935358246","Sun Apr 13 00:18:02 +0000 2025","0","Ayo gunakan hak pilih anda dan ciptakan suasana pemilihan suara ulang (PSU) Gorontalo Utara yang aman dan damai. https://t.co/90glHdESfM","1911212245935358246","https://pbs.twimg.com/media/GoX9ZtkWkAAURwY.jpg","","in","","0","0","0","https://x.com/undefined/status/1911212245935358246","1586149044640153600",
"1911212084123308188","Sun Apr 13 00:17:24 +0000 2025","0","Ayo gunakan hak pilih anda dan ciptakan suasana pemilihan suara ulang (PSU) Gorontalo Utara yang aman dan damai. https://t.co/iRFUErTSOj","1911212084123308188","https://pbs.twimg.com/media/GoX9QVyWMAAvwLo.jpg","","in","","0","0","0","https://x.com/undefined/status/1911212084123308188","1586149044640153600",
"1911211896805761197","Sun Apr 13 00:16:39 +0000 2025","0","Ayo gunakan hak pilih anda dan ciptakan suasana pemilihan suara ulang (PSU) Gorontalo Utara yang aman dan damai. https://t.co/WFdDVVbeps","1911211896805761197","https://pbs.twimg.com/media/GoX9FfxXkAAiAEK.jpg","","in","","0","0","0","https://x.com/undefined/status/1911211896805761197","1586149044640153600",
"1911211378003857848","Sun Apr 13 00:14:35 +0000 2025","0","Ayo gunakan hak pilih anda dan ciptakan suasana pemilihan suara ulang (PSU) Gorontalo Utara yang aman dan damai. https://t.co/QVxAnO1dWP","1911211378003857848","https://pbs.twimg.com/media/GoX8nTqXIAIQJ1L.jpg","","in","","0","0","0","https://x.com/undefined/status/1911211378003857848","1586149044640153600",
"1911106999364030912","Sat Apr 12 17:19:49 +0000 2025","0","Kukar - Logistik atau kebutuhan untuk pemungutan suara ulang (PSU) Bupati dan Wakil Bupati Kukar berupa surat suara telah tiba di Gudang Logistik Komisi Pemilihan Umum (KPU) pada Jum'at (11/4) malam. https://t.co/ucGX2b4Byc","1911106999364030912","https://pbs.twimg.com/media/GoWdr-wXsAAtQ92.jpg","","in","","0","0","0","https://x.com/undefined/status/1911106999364030912","887228085317152768",
"1910979595173814628","Sat Apr 12 08:53:39 +0000 2025","0","Pemungutan Suara Ulang dan Persiapan Pelaksanaan Pemungutan Suara Ulang pada Pemilihan Bupati dan Wakil Bupati Serang Tahun 2024 Hasil Putusan Mahkamah Konstitusi di Kabupaten Serang Jumat (11/4/2025). https://t.co/o4GJ1siFhS","1910979616875094091","https://pbs.twimg.com/media/GoUp1T6XYAANoX1.jpg","KPU_ID","in","","0","1","0","https://x.com/undefined/status/1910979616875094091","2413697946",
"1910925826222375078","Sat Apr 12 05:19:54 +0000 2025","0","Siap Amankan Pemilihan Suara Ulang Ratusan Personel Polda Kaltim Cek Kesehatan https://t.co/ZwS1AWc1q2 Balikpapan Dalam rangka mendukung kelancaran pelaksanaan Pemilihan Suara Ulang (PSU) di wilayah Kabupaten Kutai Kartanegara (Kukar) dan Kabupaten Mahakam Ulu Bid Dokkes https://t.co/BwrsHjuqh1","1910925826222375078","https://pbs.twimg.com/media/GoT45fvWEAA3tio.jpg","","in","","0","0","0","https://x.com/undefined/status/1910925826222375078","1825543790427623424",
